,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
695,-39,-64,1.6,2.4
696,-39,-63,1.6,2.4
697,-38,-57,1.6,2.4
698,-46,-57,1.6,2.4
699,-46,-63,1.6,2.4
700,-38,-63,1.6,2.4
701,-38,-57,1.6,2.4
702,-46,-57,1.6,2.4
703,-46,-64,1.6,2.4
704,-38,-64,1.6,2.4
705,-38,-64,1.6,2.4
706,-46,-64,1.6,2.4
707,-46,-63,1.6,2.4
708,-38,-63,1.6,2.4
709,-38,-63,1.6,2.4
710,-46,-63,1.6,2.4
711,-46,-63,1.6,2.4
712,-46,-63,1.6,2.4
713,-38,-63,1.6,2.4
714,-38,-57,1.6,2.4
715,-38,-57,1.6,2.4
716,-38,-57,1.6,2.4
717,-47,-57,1.6,2.4
718,-47,-62,1.6,2.4
719,-38,-62,1.6,2.4
720,-38,-57,1.6,2.4
721,-47,-56,1.6,2.4
722,-47,-56,1.6,2.4
723,-47,-56,1.6,2.4
724,-47,-63,1.6,2.4
725,-38,-63,1.6,2.4
726,-38,-57,1.6,2.4
727,-47,-57,1.6,2.4
728,-47,-63,1.6,2.4
729,-38,-63,1.6,2.4
730,-38,-63,1.6,2.4
731,-38,-63,1.6,2.4
732,-38,-63,1.6,2.4
733,-47,-64,1.6,2.4
734,-47,-56,1.6,2.4
735,-46,-56,1.6,2.4
736,-46,-63,1.6,2.4
737,-38,-64,1.6,2.4
738,-38,-56,1.6,2.4
739,-46,-56,1.6,2.4
740,-46,-63,1.6,2.4
741,-38,-64,1.6,2.4
742,-38,-63,1.6,2.4
743,-38,-64,1.6,2.4
744,-38,-57,1.6,2.4
745,-46,-56,1.6,2.4
746,-46,-63,1.6,2.4
747,-38,-63,1.6,2.4
748,-38,-63,1.6,2.4
749,-46,-62,1.6,2.4
750,-46,-62,1.6,2.4
751,-47,-63,1.6,2.4
752,-38,-63,1.6,2.4
753,-38,-63,1.6,2.4
754,-38,-64,1.6,2.4
755,-38,-57,1.6,2.4
756,-46,-57,1.6,2.4
757,-46,-62,1.6,2.4
758,-38,-62,1.6,2.4
759,-38,-57,1.6,2.4
760,-46,-57,1.6,2.4
761,-46,-57,1.6,2.4
762,-47,-57,1.6,2.4
763,-47,-64,1.6,2.4
764,-38,-64,1.6,2.4
765,-38,-56,1.6,2.4
766,-46,-56,1.6,2.4
767,-46,-57,1.6,2.4
768,-46,-57,1.6,2.4
769,-46,-62,1.6,2.4
770,-38,-63,1.6,2.4
771,-38,-57,1.6,2.4
772,-47,-62,1.6,2.4
773,-47,-57,1.6,2.4
774,-47,-56,1.6,2.4
775,-47,-63,1.6,2.4
776,-38,-63,1.6,2.4
777,-38,-56,1.6,2.4
778,-47,-56,1.6,2.4
779,-47,-63,1.6,2.4
780,-38,-63,1.6,2.4
781,-38,-56,1.6,2.4
782,-47,-56,1.6,2.4
783,-47,-61,1.6,2.4
784,-38,-61,1.6,2.4
785,-38,-64,1.6,2.4
786,-47,-64,1.6,2.4
787,-47,-62,1.6,2.4
788,-38,-62,1.6,2.4
789,-38,-63,1.6,2.4
790,-46,-64,1.6,2.4
791,-46,-62,1.6,2.4
792,-38,-62,1.6,2.4
793,-38,-63,1.6,2.4
794,-38,-64,1.6,2.4
795,-38,-62,1.6,2.4
796,-38,-62,1.6,2.4
797,-38,-56,1.6,2.4
798,-47,-56,1.6,2.4
799,-47,-61,1.6,2.4
800,-45,-58,2,2
801,-46,-74,2,2
802,-55,-63,2,2
803,-54,-63,2,2
804,-54,-60,2,2
805,-54,-60,2,2
806,-54,-63,2,2
807,-46,-64,2,2
808,-46,-74,2,2
809,-46,-73,2,2
810,-55,-62,2,2
811,-56,-62,2,2
812,-56,-66,2,2
813,-47,-66,2,2
814,-47,-72,2,2
815,-47,-67,2,2
816,-47,-67,2,2
817,-47,-72,2,2
818,-47,-68,2,2
819,-47,-68,2,2
820,-47,-73,2,2
821,-57,-67,2,2
822,-56,-67,2,2
823,-56,-67,2,2
824,-56,-67,2,2
825,-56,-74,2,2
826,-47,-70,2,2
827,-47,-74,2,2
828,-47,-74,2,2
829,-46,-68,2,2
830,-46,-68,2,2
831,-46,-72,2,2
832,-56,-72,2,2
833,-56,-68,2,2
834,-46,-68,2,2
